ID,CODCLI,NOMCLI,DESLOGO,CLASE,EXPEDIENTE,ESTADO,CERTIFICADO,VIGENCIA,OBSERVACIONES,MARCA
22,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,25,579715B-2014,Interpusimos recurso de apelación contra la Resolución N°159-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza.,,,Interpusimos recurso de apelación contra la Resolución N°159-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc.,579715b-2014.jpg
23,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,579715C-2014,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza y denegó el registro de la marca.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Mattel Inc.y denegó el registro de la marca.,579715c-2014.jpg
24,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"08, 12, 17, 18, 36, 42",580741-2014,Interpusimos recurso de apelación contra la Resolución N° 4642-2015/DSD-INDECOPI que denegó de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que denegó de oficio el registro de la marca.,580741-2014.jpg
25,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,25,580741A-2014,Interpusimos recurso de apelación contra la Resolución N° 341-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580741a-2014.jpg
26,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,580741B-2014,Interpusimos recurso de apelación contra la Resolución N° 342-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,580741b-2014.jpg
27,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"08, 17, 18, 36, 42,",590291-2014,Se interpuso recurso de apelación contra la Resolución N° 10756-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Graciela Concepción Guzmán Carranza contra el registro de nuestra marca en la clase 25.,,, La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada y denegó el registro de la marca.,590291-2014.jpg
28,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,12,590291A-2014,Interpusimos recurso de apelación contra la Resolución N° 1434-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Fiat Group Automobiles S.P.A. y denegó el registro de la marca.,590291a-2014.jpg
29,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,590291C-2014,Interpusimos recurso de apelación contra la Resolución N° 1436-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc. ,,,"La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Mattel, Inc. y denegó el registro de la marca.",590291c-2014.jpg
30,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,"08, 17, 18, 36",590292-2014,Interpusimos recurso de apelación contra la Resolución N° 10759-2015/DSD-INDECOPI que denegó de oficio nuestra marca en dichas clases. ,,,"La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que denegó de oficio el registro de la marca en las clases 08, 17 ,18 y 36. Sin embargo, decidió revocar la referida resolución en el extremo que denegó el registro de la marca en la clase 42, otorgándole de tal forma su inscripción en dicha clase.",590292-2014.jpg
31,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,12,590292A-2014,Interpusimos recurso de apelación contra la Resolución N°1437-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Fiat Group Automobiles S.P.A.. y denegó el registro de la marca.,590292a-2014.jpg
32,TOTTUS,HIPERMERCADOS TOTTUS S.A.  ,,28,590292C-2014,Interpusimos recurso de apelación contra la Resolución N° 1439-2015/CSD-INDECOPI que declaró fundada la oposición formulada por Mattel Inc. ,,,"La Sala Especializada en Propiedad Intelectual confirmó la Resolución de primera instancia que declaró fundada la oposición formulada por la empresa Mattel, Inc. y denegó el registro de la marca.",590292c-2014.jpg
33,KLM,COMPAÑÍA REAL HOLANDESA DE AVIACIÓN – KLM,OPEN PLAZA CHICLAYO,43,,,22327,31/07/2020,,22327.jpg
34,KLM,COMPAÑÍA REAL HOLANDESA DE AVIACIÓN – KLM,PIURA OPEN PLAZA,9,,,65238,31/07/2020,,65238.jpg
35,KLM,COMPAÑÍA REAL HOLANDESA DE AVIACIÓN – KLM,TRUJILLO OPEN PLAZA,39,,,22400,11/08/2020,,22400.jpg
36,KLM,COMPAÑÍA REAL HOLANDESA DE AVIACIÓN – KLM,CANTA CALLAO OPEN PLAZA,16,,,65324,11/08/2020,,65324.jpg
37,MALLS PERÚ,OPEN PLAZA,,36,,,50320,18/04/2018,,50320.jpg
38,MALLS PERÚ,OPEN PLAZA,,36,,,51909,24/07/2018,,51909.jpg
39,MALLS PERÚ,OPEN PLAZA,,36,,,51910,24/07/2018,,51910.jpg
40,MALLS PERÚ,OPEN PLAZA,,36,,,51911,24/07/2018,,51911.jpg
41,MALLS PERÚ,OPEN PLAZA,,36,,,50529,24/04/2018,,50529.jpg
42,MALLS PERÚ,OPEN PLAZA,,36,,,50530,24/04/2018,,50530.jpg
43,MALLS PERÚ,OPEN PLAZA,,36,,,59074,18/09/2019,,59074.jpg
44,MALLS PERÚ,OPEN PLAZA,,36,,,65575,17/12/2020,,65575.jpg
45,MALLS PERÚ,OPEN PLAZA,,36,,,61986,25/05/2020,,61986.jpg
46,MALLS PERÚ,OPEN PLAZA,,36,,,62403,23/06/2020,,62403.jpg
47,MALLS PERÚ,OPEN PLAZA,,36,,,59117,26/10/2019,,59117.jpg
48,MALLS PERÚ,OPEN PLAZA,WOPEN,36,,,61977,25/05/2020,,61977.jpg
49,MALLS PERÚ,OPEN PLAZA,,36,,,75593,13/12/2022,,75593.jpg
