Nº,CLIENTE,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,ESTADO,OBSERVACIONES
86,HIPPERMERCADOS TOTTUS S.A.,,31,186206,17/02/2022,,
87,HIPPERMERCADOS TOTTUS S.A.,,32,190021,26/07/2022,,
88,HIPPERMERCADOS TOTTUS S.A.,,32,187482,04/05/2022,,
89,HIPPERMERCADOS TOTTUS S.A.,,3,189691,16/07/2022,,
90,HIPPERMERCADOS TOTTUS S.A.,HAPPY HOUR,"32, 33, 35",4602,09/07/2022,,
91,HIPPERMERCADOS TOTTUS S.A.,EL MAÑANERO,"29, 31",4601,09/07/2022,,
92,HIPPERMERCADOS TOTTUS S.A.,,"29, 30, 31, 32, 33, 35",4371,30/05/2022,,
93,HIPPERMERCADOS TOTTUS S.A.,,3,189824,20/07/2022,,
94,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,5,84123,21/10/2022,,
95,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,6,84122,21/10/2022,,
96,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,8,84121,21/10/2022,,
97,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,9,84758,13/11/2022,,
98,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,11,84120,21/10/2022,,
99,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,14,84119,21/10/2022,,
100,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,16,84118,21/10/2022,,
101,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,17,84117,21/10/2022,,
102,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,19,84116,21/10/2022,,
103,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,20,84115,21/10/2022,,
104,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,21,84114,21/10/2022,,
105,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,22,84113,21/10/2022,,
106,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,24,84112,21/10/2022,,
107,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,26,84111,21/10/2022,,
108,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,27,84110,21/10/2022,,
109,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,28,84192,23/10/2022,,
110,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,29,84109,21/10/2022,,
111,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,30,84108,21/10/2022,,
112,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,31,84107,21/10/2022,,
113,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,32,84106,21/10/2022,,
114,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,33,84105,21/10/2022,,
115,HIPPERMERCADOS TOTTUS S.A.,SUPERMERCADOS TOTTUS,34,84104,21/10/2022,,
116,HIPPERMERCADOS TOTTUS S.A.,,"3, 5, 25, 29, 30, 31, 32, 33, 34, 35, 43",5386,07/01/2023,,
117,HIPPERMERCADOS TOTTUS S.A.,,43,31918,26/03/2013,,Renovación en trámite teniendo como nueva fecha de vencimiento el 26.03.2023
118,HIPPERMERCADOS TOTTUS S.A.,,"02, 04, 05, 06, 08, 09, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 42, 43",5763,19/03/2023,,
119,HIPPERMERCADOS TOTTUS S.A.,,"05, 29, 30, 32",5889,11/04/2023,,
120,HIPPERMERCADOS TOTTUS S.A.,,"03, 16",6329,11/07/2023,,
121,HIPPERMERCADOS TOTTUS S.A.,,"05, 29, 30, 32",6352,19/07/2023,,
122,HIPPERMERCADOS TOTTUS S.A.,,"05, 29, 30, 32",6353,19/07/2023,,
123,HIPPERMERCADOS TOTTUS S.A.,NUTACREAM TOTTUS,30,201271,07/08/2023,,
124,HIPPERMERCADOS TOTTUS S.A.,,"05, 29, 30, 31, 32, 33",6560,02/09/2023,,
125,HIPPERMERCADOS TOTTUS S.A.,,43,78550,27/09/2023,,
126,SAGA FALABELLA S.A.,,24,96149,07/04/2014,,Marcas que le pertenecen a Hipermercados Tottus
127,SAGA FALABELLA S.A.,,20,96150,07/04/2014,,Marcas que le pertenecen a Hipermercados Tottus
128,SAGA FALABELLA S.A.,,27,96151,07/04/2014,,Marcas que le pertenecen a Hipermercados Tottus
129,SAGA FALABELLA S.A.,,21,96152,07/04/2014,,Marcas que le pertenecen a Hipermercados Tottus
130,SAGA FALABELLA S.A.,,8,96153,07/04/2014,,Marcas que le pertenecen a Hipermercados Tottus
131,SAGA FALABELLA S.A.,ALL BASICS,25,91219,26/08/2013,,Marcas que le pertenecen a Hipermercados Tottus
132,SAGA FALABELLA S.A.,ANITIN,30,85563,10/12/2012,,Marcas que le pertenecen a Hipermercados Tottus
133,SAGA FALABELLA S.A.,COLINA MELINKA,33,85564,10/12/2012,,Marcas que le pertenecen a Hipermercados Tottus
134,SAGA FALABELLA S.A.,COOL CAT,25,91129,26/08/2013,,Marcas que le pertenecen a Hipermercados Tottus
135,SAGA FALABELLA S.A.,FRANKENLAND,29,85186,29/11/2012,,Marcas que le pertenecen a Hipermercados Tottus
136,SAGA FALABELLA S.A.,MONTEORO,29,85184,29/11/2012,,Marcas que le pertenecen a Hipermercados Tottus
137,SAGA FALABELLA S.A.,SABATER,30,85185,29/11/2012,,Marcas que le pertenecen a Hipermercados Tottus
138,SAGA FALABELLA S.A.,TELLO,29,85190,29/11/2012,,Marcas que le pertenecen a Hipermercados Tottus
139,SAGA FALABELLA S.A.,VALDY,29,85642,06/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
140,SAGA FALABELLA S.A.,ZBE,18,95159,19/02/2014,,Marcas que le pertenecen a Hipermercados Tottus
141,SAGA FALABELLA S.A.,ZBE,25,95158,19/02/2014,,Marcas que le pertenecen a Hipermercados Tottus
142,SAGA FALABELLA S.A.,ZUCCA,25,93738,31/10/2013,,Marcas que le pertenecen a Hipermercados Tottus
143,SAGA FALABELLA S.A.,,34,89101,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
144,SAGA FALABELLA S.A.,,33,89100,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
145,SAGA FALABELLA S.A.,,31,89090,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
146,SAGA FALABELLA S.A.,,30,93355,21/11/2013,,Marcas que le pertenecen a Hipermercados Tottus
147,SAGA FALABELLA S.A.,,29,89097,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
148,SAGA FALABELLA S.A.,,28,89096,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
149,SAGA FALABELLA S.A.,,27,89095,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
150,SAGA FALABELLA S.A.,,26,89094,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
151,SAGA FALABELLA S.A.,,24,89093,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
152,SAGA FALABELLA S.A.,,22,89092,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
153,SAGA FALABELLA S.A.,,21,89091,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
154,SAGA FALABELLA S.A.,,20,89090,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
155,SAGA FALABELLA S.A.,,19,89089,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
156,SAGA FALABELLA S.A.,,2,89078,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
157,SAGA FALABELLA S.A.,,3,89079,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
158,SAGA FALABELLA S.A.,,4,89080,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
159,SAGA FALABELLA S.A.,,5,89081,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
160,SAGA FALABELLA S.A.,,6,89082,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
161,SAGA FALABELLA S.A.,,8,89083,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
162,SAGA FALABELLA S.A.,,9,89084,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
163,SAGA FALABELLA S.A.,,18,99682,02/08/2014,,Marcas que le pertenecen a Hipermercados Tottus
164,SAGA FALABELLA S.A.,,17,89088,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
165,SAGA FALABELLA S.A.,,16,89087,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
166,SAGA FALABELLA S.A.,,11,89085,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
167,SAGA FALABELLA S.A.,,14,89086,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
168,SAGA FALABELLA S.A.,,43,32443,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
169,SAGA FALABELLA S.A.,,39,32442,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
170,SAGA FALABELLA S.A.,,38,32441,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
171,SAGA FALABELLA S.A.,,36,32440,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
172,SAGA FALABELLA S.A.,,35,32439,30/05/2013,,Marcas que le pertenecen a Hipermercados Tottus
173,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,22,84113,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
174,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,24,84112,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
175,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,25,98765,23/06/2014,,Marcas que le pertenecen a Hipermercados Tottus
176,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,26,84111,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
177,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,27,84110,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
178,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,28,84192,23/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
179,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,29,84109,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
180,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,30,84108,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
181,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,31,84107,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
182,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,32,84106,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
183,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,33,84105,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
184,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,34,84104,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
185,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,5,84123,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
186,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,6,84122,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
187,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,8,84121,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
188,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,9,84758,13/11/2022,,Marcas que le pertenecen a Hipermercados Tottus
189,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,11,84120,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
190,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,14,84119,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
191,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,16,84118,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
192,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,17,84117,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
193,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,19,84116,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
194,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,20,84115,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
195,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,21,84114,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
196,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,4,84124,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
197,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,3,84125,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
198,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,2,84126,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
199,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,43,30728,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
200,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,35,30926,13/11/2022,,Marcas que le pertenecen a Hipermercados Tottus
201,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,36,30730,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
202,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,38,31028,25/11/2022,,Marcas que le pertenecen a Hipermercados Tottus
203,SAGA FALABELLA S.A.,SUPERMERCADOS TOTTUS,39,30729,21/10/2022,,Marcas que le pertenecen a Hipermercados Tottus
204,SAGA FALABELLA S.A.,TOTTITA,2,91660,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
205,SAGA FALABELLA S.A.,TOTTITA,3,91661,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
206,SAGA FALABELLA S.A.,TOTTITA,4,91662,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
207,SAGA FALABELLA S.A.,TOTTITA,5,91663,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
208,SAGA FALABELLA S.A.,TOTTITA,6,91664,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
209,SAGA FALABELLA S.A.,TOTTITA,8,91665,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
210,SAGA FALABELLA S.A.,TOTTITA,9,91761,19/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
211,SAGA FALABELLA S.A.,TOTTITA,11,91666,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
212,SAGA FALABELLA S.A.,TOTTITA,34,91682,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
213,SAGA FALABELLA S.A.,TOTTITA,14,91667,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
214,SAGA FALABELLA S.A.,TOTTITA,29,91681,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
215,SAGA FALABELLA S.A.,TOTTITA,33,91680,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
216,SAGA FALABELLA S.A.,TOTTITA,32,91679,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
217,SAGA FALABELLA S.A.,TOTTITA,16,91668,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
218,SAGA FALABELLA S.A.,TOTTITA,31,91678,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
219,SAGA FALABELLA S.A.,TOTTITA,30,92812,05/11/2013,,Marcas que le pertenecen a Hipermercados Tottus
220,SAGA FALABELLA S.A.,TOTTITA,17,91669,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
221,SAGA FALABELLA S.A.,TOTTITA,28,91677,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
222,SAGA FALABELLA S.A.,TOTTITA,27,91676,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
223,SAGA FALABELLA S.A.,TOTTITA,26,91675,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
224,SAGA FALABELLA S.A.,TOTTITA,19,91670,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
225,SAGA FALABELLA S.A.,TOTTITA,24,91674,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
226,SAGA FALABELLA S.A.,TOTTITA,22,91673,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
227,SAGA FALABELLA S.A.,TOTTITA,21,91672,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
228,SAGA FALABELLA S.A.,TOTTITA,20,91671,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
229,SAGA FALABELLA S.A.,TOTTITA,43,33360,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
230,SAGA FALABELLA S.A.,TOTTITA,39,33359,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
231,SAGA FALABELLA S.A.,TOTTITA,38,33358,17/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
232,SAGA FALABELLA S.A.,TOTTITA,36,33357,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
233,SAGA FALABELLA S.A.,TOTTITA,35,33356,16/09/2013,,Marcas que le pertenecen a Hipermercados Tottus
234,SAGA FALABELLA S.A.,,2,86069,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
235,SAGA FALABELLA S.A.,,3,86070,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
236,SAGA FALABELLA S.A.,,4,86071,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
237,SAGA FALABELLA S.A.,,5,86072,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
238,SAGA FALABELLA S.A.,,6,86073,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
239,SAGA FALABELLA S.A.,,8,86074,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
240,SAGA FALABELLA S.A.,,9,86075,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
241,SAGA FALABELLA S.A.,,11,86076,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
242,SAGA FALABELLA S.A.,,14,86077,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
243,SAGA FALABELLA S.A.,,16,86078,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
244,SAGA FALABELLA S.A.,,17,86079,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
245,SAGA FALABELLA S.A.,,18,99144,12/08/2014,,Marcas que le pertenecen a Hipermercados Tottus
246,SAGA FALABELLA S.A.,,19,86195,28/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
247,SAGA FALABELLA S.A.,,20,86080,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
248,SAGA FALABELLA S.A.,,21,86081,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
249,SAGA FALABELLA S.A.,,22,86082,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
250,SAGA FALABELLA S.A.,,24,86083,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
251,SAGA FALABELLA S.A.,,25,99145,12/08/2014,,Marcas que le pertenecen a Hipermercados Tottus
252,SAGA FALABELLA S.A.,,26,86084,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
253,SAGA FALABELLA S.A.,,27,86085,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
254,SAGA FALABELLA S.A.,,29,86086,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
255,SAGA FALABELLA S.A.,,28,86087,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
256,SAGA FALABELLA S.A.,,30,90992,30/06/2013,,Marcas que le pertenecen a Hipermercados Tottus
257,SAGA FALABELLA S.A.,,31,86088,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
258,SAGA FALABELLA S.A.,,32,86089,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
259,SAGA FALABELLA S.A.,,33,86090,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
260,SAGA FALABELLA S.A.,,34,86091,24/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
261,SAGA FALABELLA S.A.,,39,31458,31/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
262,SAGA FALABELLA S.A.,,43,31457,31/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
263,SAGA FALABELLA S.A.,,38,31456,31/01/2013,,Marcas que le pertenecen a Hipermercados Tottus
